date,value
2022-02-25,96580201.0
2022-02-26,78944602.0
2022-02-27,57518025.0
2022-02-28,84252306.0
2022-03-01,57911237.0
2022-03-02,74335135.0
2022-03-03,70593895.0
2022-03-04,73312622.0
2022-03-05,64377496.0
2022-03-06,43471044.0
2022-03-07,60534238.0
2022-03-08,61470224.0
2022-03-09,67939653.0
2022-03-10,70429583.0
2022-03-11,68426618.0
2022-03-12,53788835.0
2022-03-13,41933189.0
2022-03-14,56453939.0
2022-03-15,60108822.0
2022-03-16,63490430.0
2022-03-17,61740459.0
2022-03-18,56495454.0
2022-03-19,46808944.0
2022-03-20,42335283.0
2022-03-21,55365444.0
2022-03-22,69990403.0
2022-03-23,72743974.0
2022-03-24,65878205.0
2022-03-25,56991054.0
2022-03-26,59459494.0
2022-03-27,45910123.0
2022-03-28,79043472.0
2022-03-29,80331433.0
2022-03-30,80380953.0
2022-03-31,62717490.0
2022-04-01,45997499.0
2022-04-02,38738260.0
2022-04-03,33732994.0
2022-04-04,36115424.0
2022-04-05,47707256.0
2022-04-06,46582246.0
2022-04-07,47908814.0
2022-04-08,47446259.0
2022-04-09,39589059.0
2022-04-10,29459592.0
2022-04-11,38755874.0
2022-04-12,42825065.0
2022-04-13,38431219.0
2022-04-14,39640360.0
2022-04-15,30211470.0
2022-04-16,28198357.0
2022-04-17,23386396.0
2022-04-18,33237022.0
2022-04-19,47271492.0
2022-04-20,38748054.0
2022-04-21,46772873.0
2022-04-22,43219721.0
2022-04-23,35017001.0
2022-04-24,27873544.0
2022-04-25,35252077.0
2022-04-26,41923692.0
2022-04-27,50199664.0
2022-04-28,43818874.0
2022-04-29,46150335.0
2022-04-30,30752049.0
2022-05-01,24924502.0
2022-05-02,21653523.0
2022-05-03,26210251.0
2022-05-04,24347172.0
2022-05-05,27608736.0
2022-05-06,32648497.0
2022-05-07,27166609.0
2022-05-08,22712089.0
2022-05-09,25587801.0
2022-05-10,30273772.0
2022-05-11,36236739.0
2022-05-12,33543190.0
2022-05-13,30666438.0
2022-05-14,25997822.0
2022-05-15,21872170.0
2022-05-16,25017240.0
2022-05-17,29646815.0
2022-05-18,32017331.0
2022-05-19,32963550.0
2022-05-20,32873168.0
2022-05-21,26450362.0
2022-05-22,22822836.0
2022-05-23,24419421.0
2022-05-24,27538790.0
2022-05-25,27763288.0
2022-05-26,27879208.0
2022-05-27,34851005.0
2022-05-28,24706586.0
2022-05-29,18218812.0
2022-05-30,20568901.0
2022-05-31,27295067.0
2022-06-01,28457771.0
2022-06-02,21875157.0
2022-06-03,24356248.0
2022-06-04,32364512.0
2022-06-05,30154105.0
2022-06-06,35024258.0
2022-06-07,43717243.0
2022-06-08,35708775.0
2022-06-09,36197894.0
2022-06-10,30975566.0
2022-06-11,26883128.0
2022-06-12,22523511.0
2022-06-13,26374457.0
2022-06-14,28998583.0
2022-06-15,28527105.0
2022-06-16,30272538.0
2022-06-17,28833587.0
2022-06-18,25490814.0
2022-06-19,17937332.0
2022-06-20,31767441.0
2022-06-21,37268514.0
2022-06-22,39579776.0
2022-06-23,40119502.0
2022-06-24,40339028.0
2022-06-25,34585923.0
2022-06-26,30211873.0
2022-06-27,27777612.0
2022-06-28,35463199.0
2022-06-29,32780409.0
2022-06-30,29641300.0
2022-07-01,27656956.0
2022-07-02,22677381.0
2022-07-03,19249717.0
2022-07-04,23678857.0
2022-07-05,28532395.0
2022-07-06,27866814.0
2022-07-07,28444499.0
2022-07-08,31224379.0
2022-07-09,22697182.0
2022-07-10,17710129.0
2022-07-11,28137414.0
2022-07-12,24419827.0
2022-07-13,28206002.0
2022-07-14,36568678.0
2022-07-15,34447702.0
2022-07-16,24404972.0
2022-07-17,20964553.0
2022-07-18,35685001.0
2022-07-19,43862851.0
2022-07-20,38390407.0
2022-07-21,40436250.0
2022-07-22,42214377.0
2022-07-23,36147931.0
2022-07-24,28161045.0
2022-07-25,28340705.0
2022-07-26,36184773.0
2022-07-27,36021103.0
2022-07-28,39900892.0
2022-07-29,38911943.0
2022-07-30,33741484.0
2022-07-31,26011798.0
2022-08-01,22290004.0
2022-08-02,30517109.0
2022-08-03,29182478.0
2022-08-04,29357325.0
2022-08-05,35312101.0
2022-08-06,29235292.0
2022-08-07,23807859.0
2022-08-08,29139521.0
2022-08-09,29006315.0
2022-08-10,23191318.0
2022-08-11,26441089.0
